site_name,bandwidth
39,3268945
48,3033316
AU,3655626
Aa,3264743
Ad,3789459
Ae,3738761
Ao,3562162
Bk,4118151
C6,3654553
CR,3202272
Cs,3341213
DL,2744786
DS,3377460
Dd,2981113
Dh,3089160
Du,3763523
Ed,3600498
El,3358415
FN,3224800
FP,3666143
FZ,3115489
Fz,2697686
G7,3422605
Gd,3612749
H6,3518812
HK,3756569
He,4201349
Hh,3553733
Hs,3805479
IJ,3545408
IU,3623458
If,3905339
Il,3555689
J9,2975966
JQ,3705385
JU,3543636
Jb,3535258
Jt,2711223
Jw,3056286
K9,4028371
KQ,3530140
KR,2863923
Kd,3140626
Kg,3671442
Kw,4151161
LY,3407450
Lc,2718909
M5,4048869
MV,3362256
MZ,3520250
NV,2820543
Ng,3267392
Nw,3585222
O6,3461828
O8,3160892
Ox,3539985
PQ,3666040
Pd,3262389
QS,3239095
QY,3670916
Qc,3155743
Qx,2995290
Qy,3965529
Rn,3468243
SX,3721422
Sj,3314003
T3,3953053
U5,3652853
UW,3629135
Vs,3237480
W9,4188473
Wn,3350945
Wu,4202793
Xg,3272436
Yk,3729998
Yv,3556563
Z4,3740456
b3,2879352
b7,4158409
bk,4305800
bp,3126186
cd,2954140
cq,3964003
cx,3890595
ei,3753819
er,3778342
fj,3709858
g2,3785405
g9,3466578
gn,4034436
hk,3698255
i3,3598879
io,3702088
iy,3053615
j6,3424363
jv,3467700
kq,3139283
kx,3516235
lx,3535372
mz,3495800
n1,3188002
n8,2807500
p1,2808478
pu,3487353
sz,3837359
t2,3712521
v2,3205559
v3,3252268
y2,3448626
y9,2789699
