site_name,bandwidth
78,2867059
A6,3789042
AF,2910220
Ax,2969729
B8,3177863
BC,2975867
BI,3095122
BK,3695038
BT,2985602
Bf,3338455
CX,3377033
Cn,3973427
D6,2710267
DU,3453980
De,2597474
Dm,2847437
EK,3151485
Ed,3482624
Eh,3823523
El,2292160
FR,3691160
Fc,2710809
Fx,3440888
GL,2558010
GX,3172692
GZ,3402907
Gt,2945340
HK,2848032
Hz,3262417
I3,2985508
IM,2539414
IW,2398328
Ik,3503149
Il,3219842
J4,3482839
JK,2474382
JL,2998797
K3,2752227
K9,2506210
KP,2794649
Kd,3263414
Kg,3091333
Kj,3248144
Kl,2839639
Ky,3385235
LN,2999582
La,3025073
Mk,2916439
Mn,3183288
Mp,3077858
NX,3488440
Nj,2896858
Ot,2857063
PV,2461165
Pn,3224402
QW,2629074
QZ,2717614
Ro,2510692
Rt,3388928
Ru,2919087
Rz,3132615
S1,2779177
S9,2962332
Sj,3487149
T8,3798894
TY,2992652
TZ,2657085
Tg,2856735
Th,3231095
U3,3462908
U8,2869874
UV,3046894
Uw,3719148
Vy,2874103
Wb,3785909
X3,3561118
X4,3001235
X5,3569989
Xb,3289803
Xj,3252133
Xt,3443262
Y6,4133470
Y8,3260423
Ya,3300239
Yf,2913523
Yl,3102494
Yt,3378080
Yw,3255782
Yx,3332660
Z7,3159007
ae,3322057
ak,3350908
ap,2591157
aq,3065332
bc,2961484
c8,3676877
ch,2659248
cm,3258909
co,3393502
cq,2701889
cw,3215468
d3,3166238
de,3024064
df,3143654
dm,3450272
dq,3149243
ei,3150718
f3,2590275
f7,3337904
fg,3470862
fx,2464640
g4,3169892
hm,2756085
hw,3680604
iv,3539023
kt,2947799
l6,2188074
ln,2627518
lp,3166223
mo,4033850
mp,2836624
mr,3261357
mx,3168123
my,3155709
no,3193094
p5,2534005
qw,3772654
r3,2487178
r9,3289949
ru,2675824
s3,2510265
sx,3317655
sz,3462407
ty,3736989
w7,3196845
