site_name,bandwidth
14,4425580
24,4649983
59,4530198
A4,4045340
AN,3766608
Ad,3649635
Ag,3765870
Ai,4093875
Ax,4305905
B7,3872310
B8,3309683
BN,3726430
BP,4031413
BQ,3294778
BU,4791115
Bm,4240175
C8,4190938
CE,4398665
CU,4461523
Ci,5007888
Cp,3933545
Cy,3439775
DG,4036320
DY,4050975
Dg,4065700
Di,4885880
Ei,3859708
Ek,3282413
Fb,4100345
Fc,3229220
Fk,3763813
Fw,4193423
G4,3464148
GN,5223250
GW,4891848
GY,3852880
HU,3878905
Hc,3797723
Hk,3886835
IO,4045223
J5,4387678
JR,4772885
Jk,3643393
Kh,3680295
Kj,3910930
Ku,3703393
L7,4167795
Md,4605845
NR,4842795
Nf,3846440
No,3705363
O7,4236210
OW,4074153
OY,4283583
P1,4076348
Px,4075108
Rj,3257855
Rt,3513493
Sr,3616910
Th,3652473
U9,4002488
Ud,4456148
Vn,4387595
Vr,3930235
Vx,3332865
Vz,4684163
W4,3612198
WZ,3776103
X2,4884528
X5,4087158
Xo,4255778
Y1,5521915
Y6,4483203
Y7,4095808
Z8,4466138
Z9,4120300
Zo,3587675
a1,4874648
ac,3253718
ai,4679685
bk,3838965
cr,3077473
ct,3640375
dp,5086825
du,3987530
fg,4296638
gy,4623780
hi,3480363
io,3929155
jm,4489073
k4,4167180
k8,3566588
mo,4343008
np,2722238
nu,4117390
p2,3225473
pt,4112093
q9,4311348
qu,4043405
qy,5075593
